annee,trimestre,date,fournisseur,description,montant
2004,1,01-04-2004,JOHNSON CONTROLS LTD.,"Services d'inspection et d'entretien des unités de chauffage, ve",1200000.0
2004,1,01-04-2004,Hewitt Rentals Inc.,Équipement divers pour travaux de construction - location,49382.0
2004,1,01-04-2004,marlene hurley brandy hurley,NETTOYAGE ET ENTRETIEN (CONCIERGERIE),50000.0
2004,1,01-04-2004,Levitt-Safety Ltd.,Équipement de lutte contre l'incendie - réparation et révision,24000.0
2004,1,01-04-2004,I S E Research Ltd,Électronique (R&D),250528.0
2004,1,01-04-2004,Cyberguard,Équipements de sécurité des télécommunications et composants,11834.0
2004,1,01-04-2004,LOS ALTOS TECHNOLOGIES,"Traitement automatique de l'information, équipement de soutien",29775.0
2004,1,01-04-2004,FOSTER-MILLER INC.,Équipement de neutralisation des munitions explosives de surface,162329.0
2004,1,01-04-2004,EADS Astrium Limited,Services d'ingénierie,178333.0
2004,1,01-04-2004,"Ranco Controls Canada Limited, CompAir Canada Division",Compresseurs et pompes à vide,61810.0
2004,1,01-04-2004,BDI Canada  Inc,"Roulements anti-frottement, non-montés",43121.0
2004,1,01-04-2004,Nautel Limited,"Matériel de communications radio et télévisuel, sauf aéroporté",19029.0
2004,1,01-04-2004,Edmonton Gear Centre Ltd,"Composants pour freins, direction, essieu, roues et chenille de",224700.0
2004,1,01-04-2004,A P M DIESEL (1992) INC,Composants divers de véhicule,12426.0
2004,1,01-04-2004,DEW Engineering and Development Limited,"Cabine de véhicule, carrosserie et composants structuraux de châ",239941.0
2004,1,01-04-2004,HADIA IBRAHIM,"Camions et tracteurs automoteurs, d'entrepôts",35310.0
2004,1,01-04-2004,Acklands - Grainger Inc,"Meubles, armoires, armoires de sécurité et rayonnage",47315.0
2004,1,01-04-2004,Primex Project Management Limited,"Cabine de véhicule, carrosserie et composants structuraux de châ",59706.0
2004,1,01-04-2004,Eagle-Picher Energy Products Corp.,Éléments de piles,26168.0
2004,1,01-04-2004,WHITEWATER MARINE CORP,Équipement de navire et matériel naval,359646.0
2004,1,01-04-2004,TecServ & Associates Incorporated,Services de soutien logistique (transport et défense) - publicat,674314.0
2004,1,01-04-2004,(Clare) Weber's Fabricating Ltd.,"Matériel de pompage, portatif - lutte contre l'incendie, au sol",17604.0
2004,1,01-04-2004,Maple Leaf Construction Ltd.,Travaux de construction d'ouvrages de génie civil,448375.0
2004,1,01-04-2004,Wade General Contracting Ltd.,Travaux d'entreprises de construction spécialisées,217816.0
2004,1,01-04-2004,ICR General Contractors Limited,Travaux de pose d'installations,80250.0
2004,1,01-04-2004,Frecon Construction (Russell),Travaux de pose d'installations,283000.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,11079.0
2004,1,01-04-2004,British Army,Services pédagogiques,14439.0
2004,1,01-04-2004,British Army,Services pédagogiques,14989.0
2004,1,01-04-2004,British Army,Services pédagogiques,15921.0
2004,1,01-04-2004,Royal Air Force,Services pédagogiques,15982.0
2004,1,01-04-2004,NAVCAN Centre,"Services administratifs, de gestion et de planification",16324.0
2004,1,01-04-2004,British Army,Services pédagogiques,16662.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,17456.0
2004,1,01-04-2004,British Army,Services pédagogiques,19418.0
2004,1,01-04-2004,British Army,Services pédagogiques,20380.0
2004,1,01-04-2004,British Army,Services pédagogiques,20886.0
2004,1,01-04-2004,British Army,Services pédagogiques,21586.0
2004,1,01-04-2004,British Army,Services pédagogiques,22046.0
2004,1,01-04-2004,British Army,Services pédagogiques,22290.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,22968.0
2004,1,01-04-2004,British Army,Services pédagogiques,22985.0
2004,1,01-04-2004,British Army,Services pédagogiques,22985.0
2004,1,01-04-2004,British Army,Services pédagogiques,24031.0
2004,1,01-04-2004,British Army,Services pédagogiques,24522.0
2004,1,01-04-2004,British Army,Services pédagogiques,25679.0
2004,1,01-04-2004,British Army,Services pédagogiques,26974.0
2004,1,01-04-2004,British Army,Services pédagogiques,27417.0
2004,1,01-04-2004,British Army,Services pédagogiques,27417.0
2004,1,01-04-2004,British Army,Services pédagogiques,28247.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,29044.0
2004,1,01-04-2004,British Army,Services pédagogiques,29234.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,31262.0
2004,1,01-04-2004,Royal Belgium Navy,Services pédagogiques,36344.0
2004,1,01-04-2004,British Army,Services pédagogiques,43863.0
2004,1,01-04-2004,British Army,Services pédagogiques,44712.0
2004,1,01-04-2004,Royal Military College of Science,Services pédagogiques,47786.0
2004,1,01-04-2004,British Army,Services pédagogiques,47786.0
2004,1,01-04-2004,British Army,Services pédagogiques,184072.0
2004,1,01-04-2004,Royal Netherlands Navy,Services pédagogiques,219818.0
2004,1,01-04-2004,Royal Navy,Services pédagogiques,426889.0
2004,1,01-04-2004,InBusiness Solutions,Services de programmation,88730.0
2004,1,01-04-2004,Associates Group of Companies,Services de programmation,84263.0
2004,1,01-04-2004,Bowdens,PROJET D'IMPRESSION,16000.0
2004,1,01-04-2004,Tri-Comp Systems Ltd,"Services professionnels, informatique",186328.0
2004,1,02-04-2004,Farmer Construction Ltd.,Travaux de construction de bâtiments,5888726.0
2004,1,02-04-2004,Peter P Wynberg,Entretien des terrains,25300.0
2004,1,02-04-2004,Irving Oil Limited,"Gaz, propane",1150000.0
2004,1,02-04-2004,Polaris Fire & Safety Inc.,"Analyseurs de gaz, comprend NOX, CO, CO2, SO2, O2, exclut type",33582.0
2004,1,02-04-2004,Mathew & Co. Limited,Serviette,12674.0
2004,1,02-04-2004,Edward Kurbec,Services de formation en communications,28500.0
2004,1,02-04-2004,Black & McDonald Ltd.- Atlantic Region,Câblage de matériel informatique d'immeuble - installation,12635.0
2004,1,02-04-2004,Dalhousie University,Matériaux et produits (R&D),17263.0
2004,1,02-04-2004,KTW Consulting Limited,Logiciel TAI,26643.0
2004,1,02-04-2004,G.N. JOHNSTON EQUIPMENT CO. LTD.,"Matières fabriquées, plastique",40496.0
2004,1,02-04-2004,"486196 BC LTD, 486197 BC LTD, 486198 BC LTD, ET AL",Tentes et bâches,69927.0
2004,1,02-04-2004,Unisource Technology Inc,Accessoires divers de moteurs d'aéronefs,31201.0
2004,1,02-04-2004,Kaycom Incorporated,Pompes à moteur et pompes à main,114359.0
2004,1,02-04-2004,J.H.T. ELECTRONICS LTD.,Quincaillerie et fournitures électriques,46531.0
2004,1,02-04-2004,Unisource Technology Inc,Isolateurs électriques et matières isolantes,10558.0
2004,1,02-04-2004,MARTIN BAKER AIRCRAFT CORPORATION,Parachutes et équipement de distribution et de ramassage aériens,270040.0
2004,1,02-04-2004,DIT-MCO  International,Articles divers,10024.0
2004,1,02-04-2004,Sauvetage l'Aranéa Inc.,Services pédagogiques,12583.0
2004,1,04-04-2004,Thermotech Combustion F.D.C. Inc.,Services professionnels,20026.0
2004,1,04-04-2004,Sam Jakes Inn,"Hôtels, motels et pensions avec possibilité de cuisson",10293.0
2004,1,05-04-2004,Ecole de Langues ABCE,Services professionnels,18000.0
2004,1,05-04-2004,C & S Builders Ltd.,Travaux de construction de bâtiments,39791.0
2004,1,05-04-2004,P.C. McNeill Contracting Ltd.,Travaux de pose d'installations,34000.0
2004,1,05-04-2004,STRONGCO INC,Équipement de terrassement et d'excavation - réparation,18996.0
2004,1,05-04-2004,SENTINEL LUBRICANTS CORP / LES LUBRIFIANTS SENTINEL CORP,"Huiles et graisses de coupe, de graissage et hydrauliques",15087.0
2004,1,05-04-2004,PROFESSIONAL SOFTWARE SOLUTIONS INC,Enseignement assisté par ordinateur,11790.0
2004,1,05-04-2004,"MSLI, GP",Logiciel TAI,15836.0
2004,1,05-04-2004,Unisource Technology Inc,Équipement d'élimination des déchets,29212.0
2004,1,05-04-2004,Jenkins Marine Ltd,"Navires et bateaux, de petites dimensions - réparation, radoub e",58849.0
2004,1,05-04-2004,B.S.F. Inc,Rivets,12192.0
2004,1,05-04-2004,Services d'approvisionnement Miltech Procurement Services Limited,Composants structuraux de cellules,14475.0
2004,1,05-04-2004,Ajilon Canada,Services de programmation,162426.0
2004,1,06-04-2004,AIR MARKETING INTL.,fret d'air,80023.0
2004,1,06-04-2004,Haco Canada Inc,"Ferronnier, hydraulique",11449.0
2004,1,06-04-2004,Dalhousie University Conference Services & Summer Housing,Logement et aliments,70507.0
2004,1,06-04-2004,The Recharge Centre,Systèmes d'alerte d'incendie - réparation et révision,50000.0
2004,1,06-04-2004,Umacs of Canada Inc,Échafaudages - location,19763.0
2004,1,06-04-2004,THALES CANADA INC.,Avions robots,686000.0
2004,1,06-04-2004,Lockheed Martin Canada Inc.,Produits et services informatiques d'intégration des systèmes,2353907.0
2004,1,06-04-2004,"DigitalNet Government Solutions, LLC",Équipement de traitement automatique de configuration de système,127246.0
2004,1,06-04-2004,Lockheed Martin Canada Inc.,Composants électriques et électroniques divers,363037.0
2004,1,06-04-2004,Schneider Electric,Disjoncteurs,15327.0
2004,1,06-04-2004,LOCKHEED MARTIN AIRCRAFT & LOGISTICS CENTERS,Composants structuraux de cellules,39505.0
2004,1,06-04-2004,Tower Aerospace Inc.,"Équipement de climatisation, de chauffage et de pressurisation d",13363.0
2004,1,06-04-2004,"Transdigm, Inc Adel Wiggins Group",Quincaillerie commerciale,14991.0
2004,1,06-04-2004,Aircraft Appliances and Equipment Limited,Équipement de climatisation,421000.0
2004,1,06-04-2004,DETROIT DIESEL ALLISON  CANADA EAST (1995),Composants des transmissions de puissance des véhicules,3142590.0
2004,1,06-04-2004,PEERLESS GARMENTS LTD.,Vêtements à usage spécial,627362.0
2004,1,06-04-2004,US MOTOR WORKS,Turbocompresseurs et composants,38928.0
2004,1,06-04-2004,BAE SYSTEMS Australia Limited,Équipement divers pour conduite de tir,32431.0
2004,1,06-04-2004,"RSL ELECTRONICS USA, Inc.",Équipement divers pour conduite de tir,30463.0
2004,1,06-04-2004,Andre Baker,Services professionnels,15000.0
2004,1,06-04-2004,Ciment Projete & Piscines Orleans Inc.,Travaux de pose d'installations,69850.0
2004,1,06-04-2004,Eric Curtis Construction Ltd.,Travaux d'achèvement et de finition des bâtiments,154436.0
2004,1,07-04-2004,Unitex N B Company Ltd,Articles divers,18296.0
2004,1,07-04-2004,A. F. Eshmade & Associates Ltd.,Enforcement de pieux,10700.0
2004,1,07-04-2004,INDUSTRIES HYDRAUMARC INC.,Circuit de génération hydraulique - réparation,14659.0
2004,1,07-04-2004,POINTWISE INC,Informatique (R&D),32000.0
2004,1,07-04-2004,AP LABS,Domaine militaire (R&D),17360.0
2004,1,07-04-2004,ALENIA MARCONI SYSTEMS,"Appareils de lancement de grenades, roquettes et artifices",178025.0
2004,1,07-04-2004,Zenon Environmental Inc,"Raccords pour tuyaux souples, tuyaux, tubes, et rampes et balust",15379.0
2004,1,07-04-2004,Simex Equipment Inc,"Soupapes et robinets, à commande directe",11826.0
2004,1,07-04-2004,ZENON Environmental Systems Inc.,Équipement d'élimination des déchets,52580.0
2004,1,07-04-2004,Unisource Technology Inc,"Composants du système électrique des moteurs, sauf pour aéronefs",150549.0
2004,1,07-04-2004,Advanced Military Logistics Corporation,Turbocompresseurs et composants,10919.0
2004,1,07-04-2004,Primex Project Management Limited,"Cabine de véhicule, carrosserie et composants structuraux de châ",46513.0
2004,1,07-04-2004,ImStrat Corporation,services photographiques,27050.0
2004,1,08-04-2004,"Humenuik, Terry",Services professionnels,24999.0
2004,1,08-04-2004,Wolseley Industrial Products Group Inc. Wolseley Groupe de Produits Industriels Inc.,Machines à emballer,36648.0
2004,1,08-04-2004,Interthink Consulting Incorporated,Formation professionnelle et technique,33925.0
2004,1,08-04-2004,Forty Mile Gas Co-op Ltd.,Gaz naturel,16050.0
2004,1,08-04-2004,Gov't of the Province of Saskatchewan,Location de véhicule à court et à long terme,16000.0
2004,1,08-04-2004,david p campbell,Formation professionnelle et technique,15956.0
2004,1,08-04-2004,Egetec Enterprises Inc.,Connecteurs électriques,15069.0
2004,1,08-04-2004,AML Associates Inc.,Gestion des programmes - analyse et contrôle,57513.0
2004,1,08-04-2004,Services d'approvisionnement Miltech Procurement Services Limited,"Composants des systèmes hydrauliques, de dépression et de dégivr",58921.0
2004,1,08-04-2004,Tower Aerospace Inc.,Écrous et rondelles,12760.0
2004,1,08-04-2004,Unisource Technology Inc,Composants structuraux de cellules,24139.0
2004,1,08-04-2004,BDI Canada  Inc,Accessoires et garnitures de véhicules,102506.0
2004,1,08-04-2004,536303 B.C. LTD.,Équipements divers de transmission de puissance,57688.0
2004,1,08-04-2004,Contrat,Composants des transmissions de puissance des véhicules,42908.0
2004,1,08-04-2004,EQUIPEMENT MILITAIRE MIL-QUIP INC.,"Accessoires divers de moteurs, sauf pour aéronefs",12314.0
2004,1,08-04-2004,Johnson Outdoors Canada Inc.,Instruments de navigation,17445.0
2004,1,10-04-2004,W R DAVIS ENGINEERING LIMITED,"Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo",1638598.0
2004,1,10-04-2004,PIECES D'AVIONS INTER-NATIONALES M H D (1994) INC,Airframe Structural Components,15462.0
2004,1,10-04-2004,Derco Aerospace Canada Co.,Airframe Structural Components,25622.0
2004,1,10-04-2004,Wesco Distribution Canada - Inc.,Electric Lamps,63825.0
2004,1,10-04-2004,J.H.T. ELECTRONICS LTD.,"Hose, Pipe, Tube, Lubrication, and Railing Fittings",12701.0
2004,1,10-04-2004,LOCKHEED MARTIN AIRCRAFT & LOGISTICS CENTERS,Airframe Structural Components,13255.0
2004,1,10-04-2004,Vimar Equipment Ltd,"Sweepers, Road, Vacuum, Vehicle Mounted",196785.0
2004,1,10-04-2004,Trius Inc.,Trailers - Repair,69000.0
2004,1,10-04-2004,Iunctus Geomatics Corp,"Aeronautical Maps, Charts and Geodetic Products",10636.0
2004,1,10-04-2004,Bytown Marine Limited,"Radar Equipment, Airborne",29561.0
2004,1,10-04-2004,J.H.T. ELECTRONICS LTD.,Amplifiers,68302.0
2004,1,10-04-2004,Atelier De Mecanique Bouffard Inc,"Bearings, Plain, Unmounted",14145.0
2004,1,10-04-2004,shaileshkumar,"Engine Accessories, Miscellaneous, Non-Aircraft",21443.0
2004,1,10-04-2004,Patlon Aircraft & Industries Limited,Aircraft Wheel and Brake Systems,179012.0
2004,1,10-04-2004,LA MANUFACTURE FINNIE LTEE,Tents and Tarpaulins,420435.0
2004,1,10-04-2004,EIS-SPORTHALLE ESCHWEILER,Leasing of Other Buildings,35092.0
2004,1,10-04-2004,Davison Excavating Ltd.,EARTHMOVING AND EXCAVATING EQUIPMENT - RENTAL,11717.0
2004,1,10-04-2004,General Motors of Canada Limited,"Trucks and Truck Tractors, Wheeled",37665.0
2004,1,10-04-2004,General Motors of Canada Limited,"Trucks and Truck Tractors, Wheeled",36779.0
2004,1,10-04-2004,VLASTO CLARK & WATSON LTD,Electrical Control Equipment,34338.0
2004,1,10-04-2004,THALES TRAINING AND SIMULATION LIMITED,Miscellaneous Communications Equipment,81673.0
2004,1,10-04-2004,General Motors of Canada Limited,"Trucks and Truck Tractors, Wheeled",20565.0
2004,1,10-04-2004,Blue Tree Hotels Investment (Canada) Ltd,Conference Space and Facilities,10140.0
2004,1,10-04-2004,BIBLIOMONDO INC,ADP Software,12573.0
2004,1,11-04-2004,Arva Industries Inc.,Cranes and Crane Shovels,453948.0
2004,1,11-04-2004,CompAir Canada Inc.,Compressors and Vacuum Pumps,30424.0
2004,1,11-04-2004,Engineering Services Inc.,Military (R&D),159319.0
2004,1,11-04-2004,EXCAVATION JEAN-PAUL VALLIE ENRG.,Snow Plowing and Removal,17178.0
2004,1,11-04-2004,DoALL Canada,"Saws, Band (Metal Cutting)",36000.0
2004,1,11-04-2004,FATS INC.,Armament Training Devices,154753.0
2004,1,11-04-2004,3202488 CANADA INC.,Recreational and Athletic Equipment,14841.0
2004,1,11-04-2004,FITNESS DEPOT COMMERCIAL,Recreational and Athletic Equipment,23326.0
2004,1,11-04-2004,Pratt & Whitney Canada Corp.,Aircraft Components and Accessories - Repair,10645.0
2004,1,11-04-2004,B.S.F. Inc,Airframe Structural Components,11978.0
2004,1,11-04-2004,MAN Steyr AG,"Engine Fuel System Components, Non-Aircraft",18681.0
2004,1,11-04-2004,536303 B.C. LTD.,"Engine Fuel System Components, Non-Aircraft",11003.0
2004,1,11-04-2004,Contrat,"Fans, Air Circulators and Blower Equipment",18382.0
2004,1,11-04-2004,ACI Instrumentation Limited,Computer Power Supply (CPS),17334.0
2004,1,11-04-2004,Wainwright Auto Supply(88)ltd.,Hydraulic Fluid,101843.0
2004,1,11-04-2004,Dictaphone Canad,ADP Software,45838.0
2004,1,11-04-2004,Medical Education Technologies Inc. (METI),Specialized Flight Clothing and Accessories,167420.0
2004,1,11-04-2004,AMTEK Engineering Services Ltd,Logistics Support Services (Transportation and Defence) - Public,132145.0
2004,1,11-04-2004,Derco Aerospace Canada Co.,"Valves, Powered",26254.0
2004,1,11-04-2004,WRIGHT INSTRUMENTS LIMITED,Time Measuring Instruments,16757.0
2004,1,11-04-2004,PIECES D'AVIONS INTER-NATIONALES M H D (1994) INC,Airframe Structural Components,69345.0
2004,1,11-04-2004,Derco Aerospace Canada Co.,Airframe Structural Components,12623.0
2004,1,13-04-2004,Canadian Corps of Commissionaires,Services d'architectes et d'ingénieurs - Bâtiments,102497.0
2004,1,13-04-2004,Robert Sipprell,"Chasse-neige, à lame de bulldozer, pour niveleuse",11370.0
2004,1,13-04-2004,NexInnovations Inc.,Logiciel TAI,11846.0
2004,1,13-04-2004,Air Liquide Canada Inc,Gaz comprimés et liquéfiés,642000.0
2004,1,13-04-2004,wolf's flat ordnance disposal corp.,"Services Agricoles, N.E.A.",388608.0
2004,1,13-04-2004,Jenkins Marine Ltd,Bouées - réparation,50253.0
2004,1,13-04-2004,Philips Electronics Ltd,Équipments pour l'examens des propriétés physiques et pour l'ins,16618.0
2004,1,13-04-2004,Rosemount Aerospace Inc.,Turbines à gaz et moteurs à réaction; appareil moteur non-aérone,136650.0
2004,1,13-04-2004,MATTHEW IRVING,Quincaillerie de marine et apparaux de coque,15619.0
2004,1,13-04-2004,ASSOCIATED AIRCRAFT MANUFACTURING & SALES INC.,Composants structuraux de cellules,60389.0
2004,1,13-04-2004,Unisource Technology Inc,Composants structuraux de cellules,149309.0
2004,1,13-04-2004,E.C.S. - ESPORTAZIONE COMPONENTI,Composants des transmissions de puissance des véhicules,20463.0
2004,1,13-04-2004,DEW Engineering and Development Limited,"Composants du système de refroidissement des moteurs, sauf pour",45597.0
2004,1,13-04-2004,Arvin Machine Works Inc.,"Engrenages, poulies, pignons et chaînes de transmission",85955.0
2004,1,13-04-2004,MONMET LTEE,Quincaillerie commerciale,16050.0
2004,1,13-04-2004,Excel Human Resources Inc.,Services de programmation,84396.0
2004,1,14-04-2004,Nav Canada,"Hôtels, motels et pensions avec possibilité de cuisson",32500.0
2004,1,14-04-2004,Info People Inc.,Services de programmation,295320.0
2004,1,14-04-2004,Goodall Rubber Company of Canada Limited,Conduite d'aération,19907.0
2004,1,14-04-2004,Vantage Equipment Company Ltd.,Équipements de sécurité des télécommunications et composants sys,11406.0
2004,1,14-04-2004,THERMECH SYSTEMS LTD,"Services d'inspection et d'entretien des unités de chauffage, ve",51750.0
2004,1,14-04-2004,CAPE ENRAGE ADVENTURES INC,Entraînement en milieu sauvage,24840.0
2004,1,14-04-2004,General Electric Canada Inc.,Formation professionnelle et technique,18677.0
2004,1,14-04-2004,TRITON ELICS INTERNATIONAL INC,"Équipement pour le traitement automatique de données, configurat",10350.0
2004,1,14-04-2004,370403 Ontario Limited,Services professionnels spéciaux de construction et d'installati,70074.0
2004,1,14-04-2004,Canor Construction,Déblaiement et enlèvement de la neige,128400.0
2004,1,14-04-2004,M.J.B. Enterprises LTD.,Excavation et terrassement,37788.0
2004,1,14-04-2004,Thales Canada Inc.,"Matériel de communications radio et télévisuel, sauf aéronefs et",30638.0
2004,1,14-04-2004,Providence One Inc.,Domaine militaire (R&D),24570.0
2004,1,14-04-2004,"Interactive Circuits & Systems, Ltd.",Domaine militaire (R&D),73616.0
2004,1,14-04-2004,1108733 ontario inc,"Plaques, feuilles, lames, bandes et feuillards",55434.0
2004,1,14-04-2004,Survival Engineering Inc.,Bouteilles à gaz commerciales et industrielles,45101.0
2004,1,14-04-2004,CONSULTANTS HENERY & FILS INC,"Accessoires divers de moteurs, sauf pour aéronefs",20118.0
2004,1,14-04-2004,DIBBLEE TOOLS LTD.,"Agencements pour cordes, câbles et chaînes",15938.0
2004,1,14-04-2004,"J.E.I., Inc","Traitement automatique de l'information, approvisionnement",17730.0
2004,1,14-04-2004,Unisource Technology Inc,Composants structuraux de cellules,20702.0
2004,1,14-04-2004,Unisource Technology Inc,Composants structuraux de cellules,69473.0
2004,1,14-04-2004,Patlon Aircraft & Industries Limited,Roues et dispositifs de freinage pour aéronefs,20574.0
2004,1,14-04-2004,General Electric Canada Inc.,Paliers lisses nus,39804.0
2004,1,14-04-2004,Kaycom Incorporated,"Cabine de véhicule, carrosserie et composants structuraux de châ",16333.0
2004,1,14-04-2004,Advanced Military Logistics Corporation,Accessoires et garnitures de véhicules,128540.0
2004,1,15-04-2004,KENMONT MARINE DIV. GESTION KENMONT INC,Embarcations légères - réparation,27114.0
2004,1,15-04-2004,Softchoice Corporation,Logiciel TAI,11776.0
2004,1,15-04-2004,THE CANADIAN SALT CO. LTD.,Produits chimiques,25680.0
2004,1,15-04-2004,Lafarge Canada Inc.,"Gravier, route",28088.0
2004,1,15-04-2004,Peregrine Systems of Canada Ltd.,Services de nettoyage et d'entretien d'ordinateurs,14424.0
2004,1,15-04-2004,Raven Aviation Inc. (COB-Air Navigation Data),Logiciel TAI,70620.0
2004,1,15-04-2004,Davtair Industries,"Véhicules à moteur, standard commerciale - réparation et révisio",10700.0
2004,1,15-04-2004,FileNET Canada Inc.,Logiciel TAI,21400.0
2004,1,15-04-2004,Memec Canada Inc.,Instruments de mesure et d'essai de propriétés électriques et él,14110.0
2004,1,15-04-2004,Unisource Technology Inc,Agencements et accessoires de plomberie,12420.0
2004,1,15-04-2004,Thales Naval Services Canada Inc,"Tuyaux flexibles, équipés",32180.0
2004,1,15-04-2004,Thales Naval Services Canada Inc,"Équipement radar pour la conduite de tir, sauf pour aéronefs",39162.0
2004,1,15-04-2004,Robin Aerospace Products Ltd.,"Composants des systèmes hydrauliques, de dépression et de dégivr",1067024.0
2004,1,15-04-2004,Kaycom Incorporated,Composants structuraux de cellules,37395.0
2004,1,15-04-2004,J.H.T. ELECTRONICS LTD.,Connecteurs électriques,62381.0
2004,1,15-04-2004,B.S.F. Inc,Connecteurs électriques,12247.0
